"Location";"Pop_total"
"426";"WHO: Eastern Mediterranean Region (EMRO)";725.720786
"427";"WHO: European Region (EURO)";932.888131
"428";"WHO: South-East Asia region (SEARO)";2021.38663
"429";"WHO: Western Pacific region (WPRO)";1931.733007
"430";"West African Economic and Monetary Union (UEMOA)";130.852886
"431";"Western Africa";401.861255
"432";"Western Asia";279.636774
"433";"Western Europe";196.146321
"434";"Western European and Others Group (WEOG)";923.721644
"435";"Western Sahara";0.59733
"436";"World";7794.798729
"437";"World Bank Regional Groups (developing only)";6528.762227
"438";"Yemen";29.825968
"439";"Zambia";18.383956
"440";"Zimbabwe";14.862927
